Age,Gender,Occupation,Monthly_Income
56,Female,Working Professional,54915
46,Female,Retired,56963
32,Male,Student,63718
60,Male,Self-Employed,30611
25,Male,Working Professional,30760
38,Female,Working Professional,51544
56,Female,Self-Employed,46567
36,Male,Student,40301
40,Other,Student,67084
28,Female,Student,42106
28,Male,Working Professional,44141
41,Male,Retired,79257
53,Female,Self-Employed,56822
57,Male,Self-Employed,32046
41,Male,Self-Employed,27267
20,Female,Retired,63848
39,Male,Working Professional,47410
19,Female,Working Professional,53252
41,Female,Retired,71440
61,Male,Working Professional,46551
47,Female,Retired,45005
55,Male,Working Professional,47219
19,Male,Retired,26938
38,Female,Student,63466
50,Male,Self-Employed,40199
29,Other,Student,27126
39,Female,Working Professional,63571
61,Male,Retired,51563
42,Male,Working Professional,67719
44,Female,Retired,28929
59,Male,Working Professional,68217
45,Male,Student,62742
33,Female,Student,44278
32,Male,Self-Employed,50242
64,Male,Self-Employed,50791
61,Male,Retired,63976
20,Male,Self-Employed,55772
54,Male,Working Professional,39899
24,Female,Retired,53555
38,Female,Working Professional,54152
26,Male,Self-Employed,29505
56,Female,Retired,50580
35,Male,Self-Employed,68599
21,Female,Working Professional,60569
42,Male,Student,80223
31,Female,Working Professional,51363
26,Male,Student,42092
43,Male,Student,40733
19,Female,Working Professional,34232
37,Male,Student,45040
45,Male,Working Professional,46484
64,Male,Student,66328
24,Female,Working Professional,8000
61,Male,Student,29576
25,Female,Working Professional,61873
64,Male,Retired,63524
52,Male,Retired,51329
31,Male,Retired,55352
34,Female,Retired,58460
53,Male,Self-Employed,55392
57,Other,Self-Employed,39988
21,Male,Student,73652
19,Female,Self-Employed,46023
23,Male,Student,70373
59,Female,Student,50435
21,Male,Self-Employed,56530
46,Male,Retired,64771
35,Other,Student,45470
43,Female,Retired,52520
61,Male,Student,45315
51,Female,Student,36896
27,Male,Self-Employed,36159
53,Female,Retired,36706
31,Male,Self-Employed,76986
48,Female,Student,43990
32,Male,Self-Employed,44285
25,Female,Self-Employed,61079
31,Female,Retired,52655
40,Male,Working Professional,64160
57,Male,Working Professional,53366
38,Male,Working Professional,41984
33,Male,Student,78414
62,Female,Retired,48084
35,Female,Self-Employed,38267
64,Female,Retired,77020
41,Male,Retired,31679
43,Female,Working Professional,38148
42,Female,Self-Employed,48226
62,Male,Student,66965
58,Female,Student,57944
46,Male,Self-Employed,32557
32,Female,Self-Employed,49933
